premise,comments,url
"in the context of environment and economic policy, ""degrowth"" is a perspective that argues against ""green growth""",,
"Jason Hickel points out several flaws in Andrew McAfee's ""More from Less""",,https://twitter.com/jasonhickel/status/1222537560137838594
